Country Name,Country Code,Region,IncomeGroup,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Latin America & Caribbean,High income,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2701675978,2765363128,2919553073,2965921788,3056424581,,
Afghanistan,AFG,South Asia,Low income,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109225814,12439087077,15856574731,17804292964,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678,18353881130,19291104008
Angola,AGO,Sub-Saharan Africa,Lower middle income,9129594819,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,111790000000,128053000000,136710000000,145712000000,116194000000,101124000000,122124000000,101353000000,88815697793
Albania,ALB,Europe & Central Asia,Upper middle income,3480355189,3922099471,4348070165,5611492283,7184681399,8052075642,8896073938,10677321490,12881354104,12044223353,11926928506,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451,15147020535,15279183290
Andorra,AND,Europe & Central Asia,High income,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3154057987
Arab World,ARB,"","",735685000000,722917000000,726833000000,821090000000,965101000000,1186140000000,1406000000000,1639310000000,2080970000000,1795740000000,2103330000000,2494030000000,2773500000000,2856370000000,2894390000000,2534720000000,2469440000000,2516120000000,2771380000000,2817410000000
United Arab Emirates,ARE,Middle East & North Africa,High income,104337000000,103312000000,109816000000,124346000000,147824000000,180617000000,222117000000,257916000000,315475000000,253547000000,289787000000,350666000000,374591000000,390108000000,403137000000,358135000000,357045000000,385606000000,422215000000,421142000000
Argentina,ARG,Latin America & Caribbean,Upper middle income,284204000000,268697000000,97724004252,127587000000,164658000000,198737000000,232557000000,287531000000,361558000000,332976000000,423627000000,530163000000,545982000000,552025000000,526320000000,594749000000,557531000000,643629000000,517627000000,445445000000
Armenia,ARM,Europe & Central Asia,Upper middle income,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13672802158
American Samoa,ASM,East Asia & Pacific,Upper middle income,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605351852,1661962963
Australia,AUS,East Asia & Pacific,High income,415223000000,378376000000,394649000000,466488000000,612490000000,693408000000,746054000000,853100000000,1054000000000,927805000000,1146140000000,1396650000000,1546150000000,1576180000000,1467480000000,1351690000000,1208850000000,1329190000000,1432880000000,1396570000000
Austria,AUT,Europe & Central Asia,High income,196800000000,197338000000,213378000000,261696000000,300904000000,315974000000,335999000000,388691000000,430294000000,400172000000,391893000000,431120000000,409425000000,430069000000,441996000000,381818000000,395569000000,417238000000,455095000000,445075000000
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,5272617196,5707720391,6235856820,7276013032,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48047647059
Burundi,BDI,Sub-Saharan Africa,Low income,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2959640987,3172292379,3036931818,3012334882
Belgium,BEL,Europe & Central Asia,High income,236205000000,236541000000,257158000000,317382000000,368537000000,385571000000,407918000000,470324000000,515224000000,481346000000,480952000000,522646000000,496181000000,521643000000,534678000000,462150000000,475740000000,502698000000,543734000000,533097000000
Benin,BEN,Sub-Saharan Africa,Lower middle income,3511248900,3663017700,4174634520,5337266688,6179176459,6565043460,7027863025,8158257572,9748276762,9699586794,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701656931,14250985959,14390709095
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2956746304,3190371050,3622350204,4740768355,5451688868,6146352742,6547420134,7625723124,9451436359,9450697336,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,16059910871,15990803570
Bangladesh,BGD,South Asia,Lower middle income,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,102478000000,115279000000,128638000000,133356000000,149990000000,172885000000,195079000000,221415000000,249711000000,274039000000,302571000000
Bulgaria,BGR,Europe & Central Asia,Upper middle income,13245833844,14183497963,16402846413,21144983552,26157894737,29869283400,34379808889,44405101470,54438966420,52023504656,50381825504,57386216850,54033250329,55615397666,56901994980,50647442757,53806894796,58971520599,66230155100,68558815112
Bahrain,BHR,Middle East & North Africa,High income,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37652500000,38574069149
"Bahamas, The",BHS,Latin America & Caribbean,High income,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10568400000,11111600000,11710800000,11928500000,12490700000,13022100000,13578800000
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,5505887894,5748993411,6651106833,8369878823,10596205714,11222953519,12864610994,15778767670,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16211541820,16913330694,18080118128,20183510561,20164193807
Belarus,BLR,Europe & Central Asia,Upper middle income,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,63080457023
Belize,BLZ,Latin America & Caribbean,Upper middle income,832050000,868350000,925050000,983500000,1051350000,1102050000,1210150000,1271600000,1351350000,1317300000,1377200000,1460800000,1522900000,1579400000,1662800000,1723800000,1775100000,1836600000,1871200000,1879613600
Bermuda,BMU,North America,High income,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000
