Country,Country Code,Region,Year_Survey,0,1,2,3,4,5,6,7,8,9,10
Angola,AGO,Sub-Saharan Africa,2002-01-01,3,10,9,17,20,20,10,6,3,1,1
Argentina,ARG,Latin America & Caribbean,2002-01-01,5,2,2,5,7,20,14,16,17,5,7
Argentina,ARG,Latin America & Caribbean,2007-01-01,1,1,1,2,4,16,16,24,21,7,6
Argentina,ARG,Latin America & Caribbean,2010-01-01,1,0,1,2,3,13,10,20,30,8,11
Argentina,ARG,Latin America & Caribbean,2014-01-01,1,0,1,3,3,15,11,22,26,8,10
Argentina,ARG,Latin America & Caribbean,2019-01-01,4,2,1,4,4,19,11,20,17,4,14
Australia,AUS,East Asia & Pacific,2019-01-01,1,1,1,2,4,10,12,25,26,11,7
Bangladesh,BGD,South Asia,2002-01-01,0,2,17,9,21,28,10,5,6,2,1
Bangladesh,BGD,South Asia,2007-01-01,0,2,6,16,20,29,10,8,5,3,2
Bangladesh,BGD,South Asia,2014-01-01,0,0,1,5,13,25,22,21,9,3,1
Bolivia,BOL,Latin America & Caribbean,2002-01-01,1,3,4,7,12,30,13,13,9,4,4
Bolivia,BOL,Latin America & Caribbean,2007-01-01,0,1,1,4,6,33,17,17,13,3,6
Brazil,BRA,Latin America & Caribbean,2002-01-01,2,2,3,6,8,21,15,13,15,4,11
Brazil,BRA,Latin America & Caribbean,2007-01-01,1,2,1,3,5,15,12,18,21,10,13
Brazil,BRA,Latin America & Caribbean,2010-01-01,1,2,3,4,2,12,10,12,23,13,17
Brazil,BRA,Latin America & Caribbean,2014-01-01,1,1,2,2,3,10,9,17,27,14,15
Brazil,BRA,Latin America & Caribbean,2019-01-01,2,1,1,3,5,14,12,16,18,8,18
Bulgaria,BGR,Europe & Central Asia,2002-01-01,6,8,12,19,17,21,7,4,3,1,0
Bulgaria,BGR,Europe & Central Asia,2007-01-01,3,6,9,11,13,27,13,9,4,1,2
Bulgaria,BGR,Europe & Central Asia,2009-01-01,1,5,9,14,17,27,10,7,5,2,2
Bulgaria,BGR,Europe & Central Asia,2019-01-01,3,2,5,11,11,26,14,16,9,2,1
Canada,CAN,North America,2002-01-01,0,0,1,1,4,16,11,23,29,8,7
Canada,CAN,North America,2007-01-01,0,0,1,1,4,11,11,23,31,10,7
Canada,CAN,North America,2019-01-01,0,0,1,2,5,8,13,27,30,7,5
Chile,CHL,Latin America & Caribbean,2007-01-01,1,1,1,4,7,21,18,17,14,7,8
Chile,CHL,Latin America & Caribbean,2014-01-01,0,1,0,2,6,16,18,24,18,8,8
China,CHN,East Asia & Pacific,2002-01-01,3,3,3,7,9,33,19,10,9,2,2
China,CHN,East Asia & Pacific,2005-01-01,2,1,3,7,10,26,21,14,11,2,2
China,CHN,East Asia & Pacific,2007-01-01,1,1,2,5,9,25,23,16,13,2,2
China,CHN,East Asia & Pacific,2010-01-01,0,0,1,4,9,27,27,18,11,2,1
China,CHN,East Asia & Pacific,2014-01-01,0,0,1,1,3,12,22,25,23,9,2
Colombia,COL,Latin America & Caribbean,2014-01-01,1,2,2,3,4,14,10,18,21,9,16
Czech Republic,CZE,Europe & Central Asia,2002-01-01,1,0,1,4,9,27,16,23,13,3,2
Czech Republic,CZE,Europe & Central Asia,2007-01-01,1,0,1,5,8,28,15,18,17,4,2
Czech Republic,CZE,Europe & Central Asia,2009-01-01,1,0,1,4,7,18,19,23,16,6,5
Czech Republic,CZE,Europe & Central Asia,2019-01-01,1,1,1,3,5,19,12,26,19,8,5
"Côte d'Ivoire",CIV,Sub-Saharan Africa,2002-01-01,1,3,3,7,13,28,16,13,10,4,1
"Côte d'Ivoire",CIV,Sub-Saharan Africa,2007-01-01,1,0,2,6,11,26,24,13,9,4,3
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2002-01-01,0,0,1,4,8,19,22,18,15,8,3
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2007-01-01,0,2,5,7,14,20,26,14,7,4,0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2010-01-01,1,1,9,17,24,23,15,7,2,1,1
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2014-01-01,3,3,9,16,20,23,16,6,2,2,1
El Salvador,SLV,Latin America & Caribbean,2014-01-01,1,0,1,1,1,13,15,23,18,9,16
Ethiopia,ETH,Sub-Saharan Africa,2007-01-01,0,0,1,6,16,21,18,20,12,3,2
France,FRA,Europe & Central Asia,2002-01-01,0,0,2,1,5,21,14,28,23,4,2
France,FRA,Europe & Central Asia,2007-01-01,0,0,1,2,4,20,16,27,23,4,3
France,FRA,Europe & Central Asia,2010-01-01,0,0,1,3,8,20,15,25,20,5,2
France,FRA,Europe & Central Asia,2014-01-01,1,1,1,2,7,22,14,21,22,4,4
France,FRA,Europe & Central Asia,2019-01-01,1,0,1,5,6,20,14,26,18,5,3
Germany,DEU,Europe & Central Asia,2002-01-01,1,1,2,4,6,23,15,22,19,5,4
Germany,DEU,Europe & Central Asia,2007-01-01,2,1,2,5,8,20,14,24,16,4,3
Germany,DEU,Europe & Central Asia,2009-01-01,1,1,2,2,8,20,18,23,17,4,3
Germany,DEU,Europe & Central Asia,2010-01-01,0,1,2,4,5,21,15,25,21,4,2
Germany,DEU,Europe & Central Asia,2014-01-01,1,1,1,3,6,14,14,27,25,4,4
Germany,DEU,Europe & Central Asia,2019-01-01,1,1,1,3,5,16,11,21,28,8,6
Ghana,GHA,Sub-Saharan Africa,2002-01-01,1,3,7,16,20,26,14,8,2,1,0
Ghana,GHA,Sub-Saharan Africa,2007-01-01,0,1,8,11,18,23,17,13,6,2,1
Ghana,GHA,Sub-Saharan Africa,2014-01-01,4,3,8,10,15,20,14,9,10,3,3
Greece,GRC,Europe & Central Asia,2014-01-01,1,3,8,9,10,20,13,17,13,4,3
Greece,GRC,Europe & Central Asia,2019-01-01,3,2,4,6,8,22,15,21,13,3,3
Guatemala,GTM,Latin America & Caribbean,2002-01-01,1,0,0,1,4,12,10,17,29,11,14
Honduras,HND,Latin America & Caribbean,2002-01-01,1,1,2,3,5,16,15,18,19,11,11
Hungary,HUN,Europe & Central Asia,2009-01-01,2,3,10,17,19,23,10,8,5,0,2
Hungary,HUN,Europe & Central Asia,2019-01-01,0,0,3,7,6,22,15,20,17,7,3
India,IND,South Asia,2002-01-01,1,2,3,6,10,34,15,11,11,3,4
India,IND,South Asia,2005-01-01,1,1,1,4,8,34,16,14,11,4,4
India,IND,South Asia,2007-01-01,1,0,1,2,4,30,21,18,14,7,2
India,IND,South Asia,2010-01-01,0,0,1,3,5,18,16,21,21,10,4
India,IND,South Asia,2014-01-01,0,1,2,4,10,21,17,17,16,7,4
