Country,Total,Very happy,Quite happy,Not very happy,Not at all happy
Algeria,1200,211,695,182,46
Azerbaijan,1002,273,535,168,26
Argentina,1030,343,547,119,10
Australia,1477,515,852,92,7
Armenia,1100,343,559,132,56
Brazil,1486,523,844,107,12
Belarus,1535,163,815,419,54
Chile,1000,244,601,144,8
China,2300,361,1582,306,25
Taiwan,1238,322,791,97,16
Colombia,1512,854,529,119,8
Cyprus,1000,259,558,144,35
Ecuador,1202,694,424,75,8
Estonia,1533,195,981,305,29
Georgia,1202,258,578,304,61
Palestine,1000,103,641,197,55
Germany,2046,473,1246,274,31
Ghana,1552,792,462,247,51
Haiti,1996,633,1034,198,114
Hong Kong,1000,234,657,93,14
India,4078,1525,2039,440,57
Iraq,1200,126,690,316,58
Japan,2443,789,1324,230,24
Kazakhstan,1500,468,860,167,6
Jordan,1200,250,780,118,54
South Korea,1200,182,898,110,8
Kuwait,1303,538,655,83,12
Kyrgyzstan,1500,543,896,56,5
Lebanon,1200,215,725,228,26
Libya,2131,820,1044,185,62
Malaysia,1300,735,514,51,
Mexico,2000,1350,536,106,8
Morocco,1200,252,688,190,67
Netherlands,1902,607,1151,114,11
New Zealand,841,283,494,36,6
Nigeria,1759,978,512,204,65
Pakistan,1200,547,469,131,50
Peru,1210,425,495,271,11
Philippines,1200,595,478,115,13
Poland,966,214,680,51,5
Qatar,1060,598,441,18,3
Romania,1503,204,833,397,60
Russia,2500,370,1463,518,45
Rwanda,1527,620,760,130,15
Singapore,1972,771,1063,128,10
Slovenia,1069,208,682,152,19
South Africa,3531,1388,1310,625,198
Zimbabwe,1499,591,592,280,37
Spain,1189,184,843,145,13
Sweden,1206,488,652,59,5
Thailand,1200,476,640,64,19
Trinidad and Tobago,999,541,338,111,9
Tunisia,1205,201,754,190,57
Turkey,1605,602,743,191,61
Ukraine,1500,242,780,339,63
Egypt,1523,81,315,458,670
United States,2232,806,1194,196,27
Uruguay,1000,342,518,114,21
Uzbekistan,1500,968,473,50,3
Yemen,1000,179,542,244,35
