Country,Total,Very happy,Quite happy,Not very happy,Not at all  happy
Andorra,1004,344,610,47,3
Argentina,1003,320,540,112,13
Australia,1813,484,1140,158,27
Bangladesh,1200,320,768,102,10
Bolivia,2067,771,740,517,35
Brazil,1762,490,1082,159,14
Myanmar,1200,400,650,108,41
Chile,1000,263,564,154,7
China,3036,832,1867,288,46
Taiwan ROC,1223,317,793,93,21
Colombia,1520,871,488,141,20
Cyprus,1000,263,556,146,32
Ecuador,1200,728,326,112,14
Ethiopia,1230,406,670,127,27
Germany,1528,422,934,150,15
Greece,1200,191,666,235,104
Guatemala,1203,618,474,97,14
Hong Kong SAR,2075,259,1413,347,50
Indonesia,3200,1414,1587,160,35
Iran,1499,274,767,304,150
Iraq,1200,215,614,232,118
Japan,1353,405,790,120,9
Kazakhstan,1276,366,712,128,6
Jordan,1203,289,752,120,38
South Korea,1245,51,1058,134,1
Kyrgyzstan,1200,826,325,42,5
Lebanon,1200,223,810,146,20
Macau SAR,1023,148,783,82,10
Malaysia,1313,242,882,173,16
Mexico,1739,1028,572,129,10
New Zealand,1057,339,608,64,3
Nicaragua,1200,598,430,149,24
Nigeria,1237,575,320,229,108
Pakistan,1995,954,826,164,50
Peru,1400,496,636,255,8
Philippines,1200,636,461,92,8
Puerto Rico,1127,567,453,85,18
Romania,1257,228,743,231,35
Russia,1810,270,1202,261,24
Serbia,1046,176,661,188,17
Vietnam,1200,575,593,26,6
Zimbabwe,1215,215,416,388,194
Tajikistan,1200,749,384,64,2
Thailand,1500,480,771,227,17
Tunisia,1208,185,741,240,41
Turkey,2415,539,1514,307,48
Ukraine,1289,232,777,209,34
Egypt,1200,77,782,274,66
United States,2596,737,1552,265,36
